發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
108,8,20,22,17,2,01大同區,大同區民族西路與民族西路162巷口,0,1,1,B03,2.0,48.0,3.0,7.0,50.0,4.0,1.0
108,8,18,12,9,2,01大同區,大同區延平北路2段30號,0,1,3,B03,2.0,40.0,3.0,8.0,50.0,14.0,9.0
108,9,24,16,38,2,01大同區,大同區西寧北路與西寧北路1巷口,0,1,1,B03,2.0,58.0,3.0,8.0,50.0,14.0,9.0
108,8,20,16,40,2,01大同區,大同區昌吉街81巷與重慶北路3段113巷口,0,1,1,B03,2.0,44.0,3.0,8.0,40.0,4.0,1.0
108,7,9,4,15,2,01大同區,大同區延平北路3段22-8號,0,1,1,B03,2.0,56.0,4.0,8.0,50.0,14.0,9.0
108,7,19,8,20,2,01大同區,大同區承德路2段與萬全街口,0,1,1,B03,2.0,61.0,3.0,8.0,50.0,4.0,1.0
108,12,4,12,40,2,01大同區,大同區南京西路267號,0,1,1,B03,2.0,35.0,3.0,7.0,50.0,14.0,9.0
108,6,28,5,22,2,01大同區,大同區延平北路2段247巷,0,1,1,B03,2.0,51.0,3.0,8.0,40.0,14.0,9.0
108,8,24,21,27,2,01大同區,大同區市民高架道往西438號燈桿前,0,1,1,B03,2.0,36.0,3.0,8.0,60.0,10.0,9.0
108,9,11,15,30,2,01大同區,大同區環河北路1段玉泉公園停車場出入口,0,1,1,B03,2.0,57.0,3.0,8.0,50.0,14.0,9.0
108,9,11,20,52,2,01大同區,大同區鄭州路71號,0,1,2,B03,2.0,59.0,3.0,8.0,40.0,14.0,9.0
108,2,24,10,5,2,01大同區,大同區重慶北路3段往北(高公橋下),0,1,1,B02,2.0,51.0,3.0,6.0,50.0,11.0,17.0
108,3,15,16,39,2,01大同區,大同區重慶北路3段與哈密街口,0,1,1,B03,2.0,31.0,3.0,8.0,50.0,4.0,2.0
108,5,12,7,13,2,01大同區,大同區承德路3段與敦煌路口,0,1,1,B03,2.0,53.0,3.0,8.0,50.0,4.0,2.0
108,3,28,13,25,2,01大同區,大同區承德路3段與昌吉街口,0,1,1,B03,2.0,68.0,3.0,8.0,50.0,4.0,1.0
108,4,30,14,17,2,01大同區,大同區民生西路314號,0,1,1,B03,2.0,59.0,3.0,8.0,50.0,14.0,9.0
108,7,12,8,48,2,01大同區,大同區台北橋機車道上橋處,0,1,1,B03,2.0,41.0,3.0,8.0,40.0,14.0,11.0
108,7,12,17,19,2,01大同區,大同區環河北路1段與民生西路口,0,1,1,B03,2.0,44.0,3.0,8.0,50.0,4.0,2.0
108,5,6,9,40,2,01大同區,大同區太原路與鄭州路口,0,1,1,B03,2.0,59.0,3.0,6.0,40.0,3.0,1.0
108,5,15,17,46,2,01大同區,大同區延平北路1段47號,0,1,1,B03,2.0,27.0,4.0,8.0,50.0,14.0,9.0
108,10,8,16,22,2,01大同區,大同區重慶北路2段與涼州街口,0,1,1,B03,2.0,39.0,3.0,8.0,50.0,3.0,2.0
108,6,14,11,0,2,01大同區,大同區承德路3段208巷1號,0,1,3,B03,2.0,53.0,3.0,8.0,40.0,14.0,9.0
108,6,14,11,0,2,01大同區,大同區承德路3段208巷1號,0,1,4,B03,2.0,36.0,3.0,8.0,40.0,14.0,9.0
108,5,23,12,34,2,01大同區,大同區鄭州路與塔城街口,0,1,1,B03,2.0,52.0,3.0,8.0,50.0,4.0,1.0
108,6,4,18,15,2,01大同區,大同區重慶北路3段236巷45弄與重慶北路3段236巷口,0,1,1,B03,2.0,38.0,3.0,7.0,40.0,4.0,1.0
108,4,21,15,30,2,01大同區,大同區民權西路與承德路2段口,0,1,1,B03,2.0,46.0,3.0,8.0,50.0,4.0,2.0
108,5,6,7,40,2,01大同區,大同區環河北路1段(玉泉防災公園旁),0,1,1,B03,2.0,47.0,4.0,8.0,50.0,14.0,9.0
108,5,21,14,55,2,01大同區,大同區延平北路4段與敦煌路口,0,1,1,B03,2.0,70.0,3.0,7.0,50.0,4.0,1.0
108,5,24,18,20,2,01大同區,大同區重慶北路2段與保安街口,0,1,1,B03,2.0,57.0,3.0,8.0,50.0,4.0,1.0
108,8,16,23,30,2,01大同區,大同區承德橋與敦煌路口,0,1,1,B03,2.0,45.0,3.0,8.0,50.0,4.0,1.0
108,8,17,15,46,2,01大同區,大同區環河快速道路與市民高架道口,0,1,1,B03,2.0,37.0,2.0,8.0,40.0,3.0,2.0
108,9,20,11,58,2,01大同區,大同區酒泉街50巷,0,1,2,B03,2.0,37.0,3.0,6.0,30.0,14.0,9.0
108,7,31,18,45,2,01大同區,大同區承德路3段與敦煌路口下橋處,0,1,1,B03,2.0,52.0,4.0,7.0,40.0,5.0,1.0
108,10,5,11,54,2,01大同區,大同區太原路與平陽街口,0,2,3,B03,2.0,38.0,3.0,8.0,50.0,4.0,1.0
108,10,10,17,15,2,01大同區,大同區鄭州路與鄭州路29巷口,0,1,2,B03,2.0,40.0,3.0,8.0,40.0,3.0,1.0
108,9,13,6,38,2,01大同區,大同區天水路44號,0,1,1,B03,2.0,38.0,3.0,8.0,50.0,14.0,9.0
108,11,8,23,0,2,01大同區,大同區民權西路與民權西路144巷口,0,3,1,B03,2.0,29.0,3.0,7.0,50.0,4.0,1.0
108,11,13,15,40,2,01大同區,大同區重慶北路1段與長安西路口,0,1,1,B03,2.0,20.0,3.0,8.0,50.0,4.0,1.0
108,11,10,14,25,2,01大同區,大同區鄭州路與塔城街口,0,1,1,B03,2.0,55.0,4.0,8.0,40.0,4.0,2.0
108,11,11,14,20,2,01大同區,大同區西寧北路與鄭州路口,0,2,2,B03,2.0,29.0,2.0,8.0,40.0,4.0,2.0
108,12,5,7,25,2,01大同區,大同區南京西路167巷與南京西路口,0,1,1,B03,2.0,47.0,3.0,6.0,30.0,3.0,1.0
108,12,11,7,35,2,01大同區,大同區通河西街1段,0,1,1,B03,2.0,46.0,3.0,8.0,30.0,14.0,9.0
108,11,20,2,10,2,01大同區,大同區重慶北路2段與民權西路口,0,1,1,B03,2.0,39.0,4.0,8.0,50.0,4.0,1.0
108,12,16,11,10,2,01大同區,大同區鄭州路與鄭州路口地下街停車場入口,0,1,1,B03,2.0,29.0,3.0,8.0,50.0,3.0,1.0
108,12,5,11,8,2,01大同區,大同區哈密街59巷與敦煌路口,0,1,1,B03,2.0,62.0,3.0,6.0,30.0,4.0,1.0
108,12,9,19,44,2,01大同區,大同區酒泉街166號,0,1,2,B03,2.0,52.0,3.0,7.0,50.0,14.0,9.0
108,11,4,22,24,2,01大同區,大同區環河北路2段與敦煌路口,0,1,1,B03,2.0,44.0,3.0,8.0,50.0,14.0,9.0
108,11,2,10,50,2,01大同區,大同區延平北路2段12號,0,1,1,B03,2.0,56.0,3.0,8.0,50.0,14.0,9.0
108,11,14,21,40,2,01大同區,大同區鄭州路與西寧北路口,0,3,3,B03,2.0,57.0,3.0,8.0,50.0,4.0,1.0
108,11,5,13,20,2,01大同區,大同區重慶北路2段與歸綏街口,0,1,1,B03,2.0,39.0,3.0,7.0,50.0,4.0,2.0
108,11,10,12,20,2,01大同區,大同區鄭州路109號,0,1,2,B03,2.0,58.0,3.0,8.0,40.0,15.0,9.0
108,11,20,20,43,2,01大同區,大同區重慶北路3段與民族西路口,0,1,1,B03,2.0,24.0,3.0,7.0,50.0,4.0,1.0
108,12,8,10,42,2,01大同區,大同區大龍街與承德路3段24巷口,0,1,3,B03,2.0,61.0,3.0,8.0,30.0,4.0,2.0
108,12,20,22,42,2,01大同區,大同區鄭州路與西寧北路口,0,2,2,B03,2.0,56.0,3.0,6.0,40.0,4.0,2.0
108,12,14,16,51,2,01大同區,大同區民權西路94巷與民權西路口,0,1,3,B03,2.0,52.0,3.0,8.0,0.0,14.0,9.0
108,11,3,17,2,2,01大同區,大同區承德路3段與敦煌路口,0,2,1,B03,2.0,40.0,3.0,7.0,50.0,5.0,1.0
108,11,2,14,10,2,01大同區,大同區酒泉街103巷與酒泉街口,0,1,1,B03,2.0,54.0,3.0,8.0,50.0,3.0,2.0
108,10,1,10,24,2,01大同區,大同區民權西路160巷與民權西路184巷口,0,1,1,B03,2.0,36.0,3.0,8.0,30.0,3.0,1.0
108,8,20,11,54,2,01大同區,大同區承德路2段122號,0,1,3,B03,2.0,46.0,3.0,8.0,50.0,14.0,9.0
108,8,1,19,21,2,01大同區,大同區環河北路1段與民生西路423巷口,0,1,1,B03,2.0,60.0,3.0,7.0,50.0,3.0,1.0
108,8,2,17,47,2,01大同區,大同區鄭州路與塔城街口,0,1,2,B03,2.0,38.0,3.0,8.0,40.0,4.0,1.0
108,8,7,18,44,2,01大同區,大同區重慶北路1段與長安西路口,0,1,1,B02,2.0,57.0,3.0,6.0,50.0,4.0,1.0
108,8,26,18,27,2,01大同區,大同區環河北路1段與鄭州路口,0,1,1,B03,2.0,25.0,3.0,8.0,40.0,4.0,1.0
108,9,8,18,39,2,01大同區,大同區民權西路144巷與台北橋口汽車道,0,1,1,B03,2.0,64.0,3.0,7.0,40.0,4.0,1.0
108,10,5,8,3,2,01大同區,大同區環河北路1段與歸綏街口,0,1,2,B03,2.0,63.0,3.0,8.0,50.0,14.0,9.0
108,9,18,7,40,2,01大同區,大同區市民大道1段與承德路1段口,0,3,1,B03,2.0,71.0,3.0,8.0,0.0,4.0,1.0
108,10,13,23,27,2,01大同區,大同區鄭州路與西寧北路口,0,1,3,B03,2.0,39.0,3.0,7.0,40.0,4.0,1.0
108,9,21,3,57,2,01大同區,大同區承德路1段與市民大道1段口,0,1,1,B03,2.0,20.0,3.0,6.0,40.0,5.0,1.0
108,11,1,18,58,2,01大同區,大同區歸綏街與民樂街口,0,1,1,B03,2.0,45.0,3.0,7.0,50.0,4.0,1.0
108,12,3,7,53,2,01大同區,大同區承德路2段與民生西路口,0,1,2,B03,2.0,32.0,3.0,8.0,50.0,4.0,2.0
108,1,1,20,54,2,02萬華區,萬華區萬大路486巷63號,0,1,1,B03,2.0,57.0,3.0,6.0,30.0,14.0,9.0
108,2,27,16,39,2,02萬華區,萬華區環河南路3段與萬大路口,0,1,2,B03,2.0,48.0,3.0,8.0,50.0,5.0,1.0
108,5,3,0,3,2,02萬華區,萬華區西寧南路與長沙街2段口,0,1,1,B03,2.0,42.0,3.0,6.0,50.0,4.0,1.0
