,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
22445,108,8,28,19,15,2,05中正區,中正區永福橋往永和,0,2,5,H02,2,23.0,2.0,8.0,50,8.0,9.0
22446,108,8,29,12,0,2,05中正區,中正區重慶南路3段與和平西路2段口,0,2,1,C03,1,27.0,2.0,8.0,50,5.0,2.0
22447,108,8,29,12,0,2,05中正區,中正區重慶南路3段與和平西路2段口,0,2,2,C03,1,54.0,2.0,8.0,50,5.0,2.0
22448,108,9,11,19,10,2,05中正區,中正區羅斯福路1段與愛國東路口,0,1,1,B03,1,38.0,3.0,8.0,50,4.0,1.0
22449,108,9,11,19,10,2,05中正區,中正區羅斯福路1段與愛國東路口,0,1,2,C03,1,35.0,2.0,8.0,50,4.0,1.0
22450,108,8,3,9,20,2,05中正區,中正區西藏路62巷與西藏路口,0,1,1,B03,1,78.0,3.0,8.0,30,4.0,1.0
22451,108,8,3,9,20,2,05中正區,中正區西藏路62巷與西藏路口,0,1,2,C03,1,56.0,2.0,8.0,30,4.0,1.0
22452,108,8,9,14,30,2,05中正區,中正區水源快速道路與中正橋口,0,1,1,B12,1,40.0,3.0,6.0,40,3.0,1.0
22453,108,8,9,14,30,2,05中正區,中正區水源快速道路與中正橋口,0,1,2,C03,2,49.0,2.0,6.0,40,3.0,1.0
22454,108,8,17,11,50,2,05中正區,中正區南昌路2段與和平西路1段口,0,2,1,C03,1,31.0,2.0,8.0,50,5.0,1.0
22455,108,8,17,11,50,2,05中正區,中正區南昌路2段與和平西路1段口,0,2,2,C03,1,18.0,2.0,8.0,50,5.0,1.0
22456,108,8,17,11,50,2,05中正區,中正區南昌路2段與和平西路1段口,0,2,3,H02,2,30.0,4.0,8.0,50,5.0,1.0
22457,108,8,17,13,45,2,05中正區,中正區重慶南路3段與汀州路2段口,0,2,1,C03,1,75.0,2.0,8.0,50,4.0,1.0
22458,108,8,17,13,45,2,05中正區,中正區重慶南路3段與汀州路2段口,0,2,2,C03,2,19.0,2.0,8.0,50,4.0,1.0
22459,108,8,27,12,25,2,05中正區,中正區金華街與潮州街3巷口,0,1,1,B03,1,45.0,3.0,8.0,50,5.0,1.0
22460,108,8,27,12,25,2,05中正區,中正區金華街與潮州街3巷口,0,1,2,C03,1,23.0,2.0,8.0,50,5.0,1.0
22461,108,8,27,12,25,2,05中正區,中正區金華街與潮州街3巷口,0,1,3,H02,2,22.0,4.0,8.0,50,5.0,1.0
22462,108,8,28,16,20,2,05中正區,中正區金華街30-2號,0,1,1,B03,2,27.0,3.0,8.0,50,14.0,9.0
22463,108,8,28,16,20,2,05中正區,中正區金華街30-2號,0,1,2,C03,1,22.0,2.0,8.0,50,14.0,9.0
22464,108,8,28,16,20,2,05中正區,中正區金華街30-2號,0,1,3,H02,2,24.0,4.0,8.0,50,14.0,9.0
22465,108,8,29,12,5,2,05中正區,中正區牯嶺街95巷與牯嶺街口,0,1,1,B03,1,66.0,3.0,8.0,40,4.0,1.0
22466,108,8,29,12,5,2,05中正區,中正區牯嶺街95巷與牯嶺街口,0,1,2,C03,1,39.0,2.0,8.0,40,4.0,1.0
22467,108,7,28,2,15,2,05中正區,中正區福州街與牯嶺街口,0,2,1,C03,1,36.0,2.0,8.0,50,4.0,1.0
22468,108,7,28,2,15,2,05中正區,中正區福州街與牯嶺街口,0,2,2,C03,1,24.0,2.0,8.0,50,4.0,1.0
22469,108,7,28,2,15,2,05中正區,中正區福州街與牯嶺街口,0,2,3,H02,2,26.0,4.0,8.0,50,4.0,1.0
22470,108,8,2,18,40,2,05中正區,中正區羅斯福路2段與羅斯福路2段4巷口,0,1,1,A04,4,0.0,4.0,8.0,40,3.0,2.0
22471,108,8,2,18,40,2,05中正區,中正區羅斯福路2段與羅斯福路2段4巷口,0,1,2,C03,1,40.0,2.0,8.0,40,3.0,2.0
22472,108,8,4,12,55,2,05中正區,中正區重慶南路2段與南海路口,0,2,1,B01,1,63.0,3.0,8.0,50,4.0,1.0
22473,108,8,4,12,55,2,05中正區,中正區重慶南路2段與南海路口,0,2,2,C03,1,23.0,2.0,8.0,50,4.0,1.0
22474,108,8,5,12,40,2,05中正區,中正區永福橋,0,1,2,C03,1,30.0,3.0,8.0,50,8.0,9.0
