,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
18594,109,5,5,8,13,2,05中正區,中正區貴陽街1段與重慶南路1段口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,2,1,9,4,5,2,16,1,48.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,8.0,1.0,4.0,43.0,43,1.0,22.0,9.0,121.5127849,25.03878763
18595,109,5,5,8,13,2,05中正區,中正區貴陽街1段與重慶南路1段口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,2,1,9,4,5,2,16,1,43.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,43.0,43,1.0,22.0,9.0,121.5127849,25.03878763
18596,109,5,5,8,13,2,05中正區,中正區貴陽街1段與重慶南路1段口,0,0,1,3,H02,8,1,5,50,4,1,1,5,4,5,7,2,1,9,4,5,2,16,2,47.0,2.0,8.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,43,1.0,22.0,9.0,121.5127849,25.03878763
18622,109,5,5,9,50,2,05中正區,中正區中華路1段83號與中華路1段81巷口,0,0,2,1,C03,8,1,5,50,3,2,1,5,4,5,7,4,4,9,4,1,2,13,1,19.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,23.0,23,1.0,22.0,9.0,121.5074732,25.0386555
18623,109,5,5,9,50,2,05中正區,中正區中華路1段83號與中華路1段81巷口,0,0,2,2,C03,8,1,5,50,3,2,1,5,4,5,7,4,4,9,4,1,2,13,1,18.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,13.0,44.0,23,1.0,22.0,9.0,121.5074732,25.0386555
18631,109,5,5,10,58,2,05中正區,中正區和平西路1段60號前,0,0,2,1,C03,8,1,5,50,14,8,1,5,4,3,7,4,4,1,4,5,1,9,1,28.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,23.0,23,1.0,22.0,9.0,121.5192896,25.02639028
18632,109,5,5,10,58,2,05中正區,中正區和平西路1段60號前,0,0,2,2,H01,8,1,5,50,14,8,1,5,4,3,7,4,4,1,4,5,1,9,1,51.0,2.0,8.0,4.0,5.0,8.0,17.0,8.0,20.0,10.0,16.0,60.0,23,1.0,22.0,9.0,121.5192896,25.02639028
18633,109,5,5,11,4,2,05中正區,中正區林森南路與濟南路1段口,0,0,1,1,C03,8,1,5,50,4,2,1,5,4,5,7,1,1,5,5,5,2,15,1,52.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,13.0,25.0,25,1.0,22.0,9.0,121.5226576,25.04246572
18634,109,5,5,11,4,2,05中正區,中正區林森南路與濟南路1段口,0,0,1,2,C03,8,1,5,50,4,2,1,5,4,5,7,1,1,5,5,5,2,15,2,44.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,44.0,25,1.0,22.0,9.0,121.5226576,25.04246572
18637,109,5,5,11,45,2,05中正區,中正區徐州路1號對面,0,0,1,1,B01,8,1,5,0,14,9,1,5,4,5,7,4,4,9,4,4,2,17,1,61.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,4.0,1.0,5.0,8.0,8,1.0,22.0,9.0,121.5189688,25.04180859
18638,109,5,5,11,45,2,05中正區,中正區徐州路1號對面,0,0,1,2,F01,8,1,5,0,14,9,1,5,4,5,7,4,4,9,4,4,2,17,2,42.0,2.0,9.0,1.0,1.0,7.0,11.0,8.0,20.0,1.0,16.0,11.0,8,1.0,22.0,9.0,121.5189688,25.04180859
18688,109,5,5,15,52,2,05中正區,中正區忠孝西路1段與館前路口,0,0,1,1,B03,8,1,5,50,4,2,1,5,4,5,7,1,1,9,4,5,2,9,2,28.0,4.0,11.0,3.0,4.0,7.0,15.0,7.0,19.0,11.0,15.0,15.0,15,2.0,22.0,9.0,121.515146,25.04664373
18689,109,5,5,15,52,2,05中正區,中正區忠孝西路1段與館前路口,0,0,1,2,H01,8,1,5,50,4,2,1,5,4,5,7,1,1,9,4,5,2,9,1,47.0,2.0,7.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,67.0,15,1.0,22.0,9.0,121.515146,25.04664373
18718,109,5,5,20,55,2,05中正區,中正區中華路1段與開封街1段口,0,0,1,1,A04,7,3,5,40,4,2,1,5,4,5,7,1,1,3,5,5,2,9,1,49.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,6.0,43.0,43,1.0,22.0,9.0,121.5094469,25.0459774
18719,109,5,5,20,55,2,05中正區,中正區中華路1段與開封街1段口,0,0,1,2,H02,7,3,5,40,4,2,1,5,4,5,7,1,1,3,5,5,2,9,2,61.0,2.0,1.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,43,1.0,22.0,9.0,121.5094469,25.0459774
18741,109,5,6,6,44,2,05中正區,中正區開封街1段與重慶南路1段口,0,0,1,1,B01,8,1,5,50,3,2,1,5,4,5,7,2,1,9,4,5,2,11,1,34.0,4.0,11.0,3.0,4.0,7.0,6.0,7.0,19.0,11.0,15.0,9.0,9,2.0,22.0,9.0,121.5131091,25.04597655
18742,109,5,6,6,44,2,05中正區,中正區開封街1段與重慶南路1段口,0,0,1,2,F01,8,1,5,50,3,2,1,5,4,5,7,2,1,9,4,5,2,11,1,31.0,2.0,8.0,4.0,5.0,7.0,11.0,8.0,20.0,2.0,16.0,11.0,9,1.0,22.0,9.0,121.5131091,25.04597655
18745,109,5,6,7,20,2,05中正區,中正區忠孝東路1段與林森南路口,0,0,1,1,B12,8,1,5,50,4,2,1,5,4,5,7,1,1,3,2,3,2,12,1,55.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,8.0,1.0,2.0,9.0,9,1.0,22.0,9.0,121.5233135,25.04474146
