發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
7610,110,2,10,10,10,2,05中正區,中正區羅斯福路2段與潮州街口,0,0,1,1,C03,8,1,5,30,5,2,1,5,4,5,7,2,1,8,3,5,1,15,1,73.0,2.0,9.0,1.0,1.0,7.0,15.0,1.0,10.0,1.0,12.0,,25.0,25,1.0,22.0,9.0,121.5205992,25.02977878
7611,110,2,10,10,10,2,05中正區,中正區羅斯福路2段與潮州街口,0,0,1,2,B01,8,1,5,30,5,2,1,5,4,5,7,2,1,8,3,5,1,15,1,57.0,3.0,10.0,1.0,1.0,7.0,15.0,1.0,4.0,1.0,1.0,,44.0,25,1.0,22.0,9.0,121.5205992,25.02977878
7628,110,2,10,12,7,2,05中正區,中正區衡陽路91號,0,0,1,1,B01,8,1,5,50,14,9,1,5,4,5,7,4,4,10,4,5,1,9,1,51.0,3.0,10.0,3.0,4.0,7.0,15.0,1.0,4.0,2.0,15.0,,43.0,43,1.0,22.0,9.0,121.5098617,25.04223064
7629,110,2,10,12,7,2,05中正區,中正區衡陽路91號,0,0,1,2,H01,8,1,5,50,14,9,1,5,4,5,7,4,4,10,4,5,1,9,2,80.0,2.0,8.0,4.0,5.0,8.0,20.0,8.0,20.0,10.0,16.0,,67.0,43,1.0,22.0,9.0,121.5098617,25.04223064
7644,110,2,10,13,30,2,05中正區,中正區信義路2段與臨沂街口,0,0,1,1,B03,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,1,2,12,1,35.0,3.0,10.0,1.0,1.0,7.0,1.0,1.0,8.0,2.0,5.0,,19.0,19,1.0,22.0,9.0,121.5277795,25.03410194
7645,110,2,10,13,30,2,05中正區,中正區信義路2段與臨沂街口,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,1,2,12,1,25.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,14.0,19,1.0,22.0,9.0,121.5277795,25.03410194
7703,110,2,10,19,24,2,05中正區,中正區襄陽路與懷寧街口,0,0,1,1,B03,6,3,5,50,4,2,1,4,4,5,7,2,1,9,4,5,1,2,1,39.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,8.0,2.0,5.0,,15.0,15,1.0,22.0,9.0,121.5142564,25.0434385
7704,110,2,10,19,24,2,05中正區,中正區襄陽路與懷寧街口,0,0,1,2,H01,6,3,5,50,4,2,1,4,4,5,7,2,1,9,4,5,1,2,2,30.0,2.0,9.0,4.0,1.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,15,1.0,22.0,9.0,121.5142564,25.0434385
7707,110,2,10,20,20,2,05中正區,中正區重慶南路3段與和平西路1段口,0,0,1,1,C03,6,3,5,30,4,1,1,4,4,5,7,1,1,1,4,5,2,16,1,27.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,10.0,1.0,13.0,,9.0,9,1.0,22.0,9.0,121.5160893,25.02714462
7708,110,2,10,20,20,2,05中正區,中正區重慶南路3段與和平西路1段口,0,0,1,2,C03,6,3,5,30,4,1,1,4,4,5,7,1,1,1,4,5,2,16,1,25.0,2.0,9.0,1.0,1.0,7.0,6.0,1.0,10.0,1.0,11.0,,13.0,9,1.0,22.0,9.0,121.5160893,25.02714462
7709,110,2,10,20,47,2,05中正區,中正區羅斯福路2段與和平西路1段口,0,0,1,1,B02,6,3,5,50,4,1,1,4,4,5,7,1,1,3,4,4,2,17,1,38.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,8.0,1.0,2.0,,9.0,9,1.0,22.0,9.0,121.5222683,25.02723816
7710,110,2,10,20,47,2,05中正區,中正區羅斯福路2段與和平西路1段口,0,0,1,2,C03,6,3,5,50,4,1,1,4,4,5,7,1,1,3,4,4,2,17,1,20.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,42.0,9,1.0,22.0,9.0,121.5222683,25.02723816
7716,110,2,10,22,32,2,05中正區,中正區愛國西路2號,0,0,3,1,C03,6,3,5,50,14,9,1,4,4,5,7,4,4,1,4,5,2,17,1,30.0,2.0,8.0,1.0,1.0,7.0,8.0,1.0,10.0,1.0,13.0,,7.0,7,1.0,22.0,9.0,121.5158772,25.0346262
7717,110,2,10,22,32,2,05中正區,中正區愛國西路2號,0,0,3,2,C03,6,3,5,50,14,9,1,4,4,5,7,4,4,1,4,5,2,17,1,21.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,16.0,7,1.0,22.0,9.0,121.5158772,25.0346262
7718,110,2,10,22,32,2,05中正區,中正區愛國西路2號,0,0,3,3,C03,6,3,5,50,14,9,1,4,4,5,7,4,4,1,4,5,2,17,2,40.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,23.0,7,1.0,22.0,9.0,121.5158772,25.0346262
7723,110,2,10,23,18,2,05中正區,中正區羅斯福路4段與羅斯福路4段196巷口,0,0,1,1,B02,6,3,5,50,3,1,1,4,4,5,7,4,4,1,4,5,2,16,1,24.0,3.0,10.0,3.0,4.0,7.0,6.0,1.0,8.0,1.0,2.0,,9.0,9,1.0,22.0,9.0,121.5366175,25.01189654
7724,110,2,10,23,18,2,05中正區,中正區羅斯福路4段與羅斯福路4段196巷口,0,0,1,2,C03,6,3,5,50,3,1,1,4,4,5,7,4,4,1,4,5,2,16,1,19.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,23.0,9,1.0,22.0,9.0,121.5366175,25.01189654
7787,110,2,11,18,30,2,05中正區,中正區臨沂街59巷與臨沂街口口,0,0,1,1,B03,6,3,5,30,3,2,1,4,4,5,7,4,4,10,5,5,1,1,1,49.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,8.0,9.0,4.0,,15.0,15,1.0,2.0,5.0,121.5290971,25.03734841
7788,110,2,11,18,30,2,05中正區,中正區臨沂街59巷與臨沂街口口,0,0,1,2,H01,6,3,5,30,3,2,1,4,4,5,7,4,4,10,5,5,1,1,2,83.0,2.0,7.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,15,1.0,20.0,5.0,121.5290971,25.03734841
7799,110,2,12,0,20,2,05中正區,中正區三元街238號,0,0,1,1,C03,6,3,5,40,14,8,1,4,4,3,6,4,4,3,4,4,2,17,1,27.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,23.0,23,1.0,22.0,9.0,121.5132181,25.02745053
7800,110,2,12,0,20,2,05中正區,中正區三元街238號,0,0,1,2,B03,6,3,5,40,14,8,1,4,4,3,6,4,4,3,4,4,2,17,2,38.0,3.0,10.0,1.0,1.0,7.0,13.0,1.0,8.0,1.0,7.0,,38.0,23,1.0,22.0,9.0,121.5132181,25.02745053
7845,110,2,12,20,50,2,05中正區,中正區台北車站東側門,0,0,1,1,C03,7,3,5,50,14,7,1,5,4,5,7,4,4,10,4,5,1,12,2,32.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,2.0,14.0,,43.0,43,1.0,22.0,9.0,121.5188718,25.04785151
7846,110,2,12,20,50,2,05中正區,中正區台北車站東側門,0,0,1,2,B01,7,3,5,50,14,7,1,5,4,5,7,4,4,10,4,5,1,12,1,63.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,4.0,2.0,5.0,,43.0,43,1.0,22.0,9.0,121.5188718,25.04785151
7850,110,2,12,22,22,1,05中正區,中正區汀州路1段136號,1,0,0,1,C03,6,3,5,50,14,9,1,4,4,5,7,4,4,9,4,5,2,8,2,41.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,23,1.0,22.0,9.0,121.5080732,25.029433
7851,110,2,12,22,22,1,05中正區,中正區汀州路1段136號,1,0,0,2,H01,6,3,5,50,14,9,1,4,4,5,7,4,4,9,4,5,2,8,1,58.0,1.0,9.0,4.0,5.0,8.0,17.0,8.0,20.0,9.0,16.0,,60.0,23,1.0,22.0,9.0,121.5080732,25.029433
7852,110,2,12,22,22,1,05中正區,中正區汀州路1段136號,1,0,0,3,B01,6,3,5,50,14,9,1,4,4,5,7,4,4,9,4,5,2,8,1,54.0,3.0,10.0,1.0,1.0,7.0,9.0,6.0,3.0,2.0,1.0,,23.0,23,1.0,22.0,9.0,121.5080732,25.029433
7941,110,2,14,11,0,2,05中正區,中正區市民大道2段與林森北路1段口,0,0,2,1,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,1,2,16,2,27.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,25.0,25,1.0,22.0,9.0,121.5241888,25.04768963
7942,110,2,14,11,0,2,05中正區,中正區市民大道2段與林森北路1段口,0,0,2,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,1,2,16,1,32.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,44.0,25,1.0,22.0,9.0,121.5241888,25.04768963
7993,110,2,14,19,10,2,05中正區,中正區中華路2段與愛國西路口,0,0,1,1,B03,8,3,5,50,5,2,1,5,4,5,7,1,1,1,4,5,2,13,1,50.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,1.0,1.0,,23.0,23,1.0,22.0,9.0,121.5067909,25.03681529
7994,110,2,14,19,10,2,05中正區,中正區中華路2段與愛國西路口,0,0,1,2,B02,8,3,5,50,5,2,1,5,4,5,7,1,1,1,4,5,2,13,1,34.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,8.0,1.0,3.0,,27.0,23,1.0,22.0,9.0,121.5067909,25.03681529
7995,110,2,14,19,26,2,05中正區,中正區重慶南路1段126巷與重慶南路1段口,0,0,3,1,C03,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,12,1,31.0,2.0,3.0,1.0,1.0,7.0,5.0,1.0,10.0,2.0,14.0,,8.0,8,1.0,22.0,9.0,121.5126693,25.03714394
7996,110,2,14,19,26,2,05中正區,中正區重慶南路1段126巷與重慶南路1段口,0,0,3,2,C03,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,12,1,22.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,13.0,8,1.0,22.0,9.0,121.5126693,25.03714394
7997,110,2,14,19,26,2,05中正區,中正區重慶南路1段126巷與重慶南路1段口,0,0,3,3,H02,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,12,2,24.0,2.0,9.0,4.0,5.0,7.0,21.0,8.0,20.0,10.0,16.0,,67.0,8,1.0,22.0,9.0,121.5126693,25.03714394
8016,110,2,14,22,52,2,05中正區,中正區貴陽街1段與公園路口,0,0,1,1,C03,8,3,5,50,4,1,1,5,4,5,7,1,1,9,4,5,1,18,2,24.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,23.0,23,1.0,22.0,9.0,121.5152889,25.03852638
8017,110,2,14,22,52,2,05中正區,中正區貴陽街1段與公園路口,0,0,1,2,,8,3,5,50,4,1,1,5,4,5,7,1,1,9,4,5,1,18,3,,,,,,,,,,,,,67.0,23,1.0,,,121.5152889,25.03852638
8025,110,2,15,2,35,2,05中正區,中正區新生南路1段48號,0,0,1,1,C03,8,3,5,50,14,9,1,5,4,5,7,1,1,9,4,5,2,18,2,38.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,23.0,23,1.0,22.0,9.0,121.5327265,25.0421742
8026,110,2,15,2,35,2,05中正區,中正區新生南路1段48號,0,0,1,2,,8,3,5,50,14,9,1,5,4,5,7,1,1,9,4,5,2,18,3,,,,,,,,,,,,,67.0,23,1.0,,,121.5327265,25.0421742
8115,110,2,15,23,20,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,0,2,1,C03,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,16,1,40.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,1.0,14.0,,8.0,8,1.0,22.0,9.0,121.5369447,25.01126236
8116,110,2,15,23,20,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,0,2,2,C03,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,16,1,24.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,42.0,8,1.0,22.0,9.0,121.5369447,25.01126236
8117,110,2,15,23,20,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,0,2,3,H02,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,16,2,37.0,4.0,11.0,1.0,1.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,8,1.0,22.0,9.0,121.5369447,25.01126236
8118,110,2,15,23,20,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,0,2,4,H02,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,16,2,9.0,4.0,11.0,1.0,1.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,8,1.0,22.0,9.0,121.5369447,25.01126236
8119,110,2,15,23,20,2,05中正區,中正區羅斯福路4段與基隆路4段口,0,0,2,5,H02,8,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,16,2,28.0,4.0,11.0,1.0,1.0,7.0,20.0,8.0,20.0,1.0,16.0,,67.0,8,1.0,22.0,9.0,121.5369447,25.01126236
8120,110,2,16,0,25,2,05中正區,中正區中華路2段465號,0,0,2,1,C03,8,3,5,50,14,9,1,5,4,5,7,3,1,10,5,5,2,3,2,24.0,2.0,1.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,15.0,15,1.0,22.0,9.0,121.5108104,25.02445619
8121,110,2,16,0,25,2,05中正區,中正區中華路2段465號,0,0,2,2,H01,8,3,5,50,14,9,1,5,4,5,7,3,1,10,5,5,2,3,2,57.0,2.0,7.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,15,1.0,22.0,9.0,121.5108104,25.02445619
8122,110,2,16,0,25,2,05中正區,中正區中華路2段465號,0,0,2,3,,8,3,5,50,14,9,1,5,4,5,7,3,1,10,5,5,2,3,3,,,,,,,,,,,,,67.0,15,1.0,,,121.5108104,25.02445619
8126,110,2,16,2,25,2,05中正區,中正區中山南路與仁愛路1段口,0,0,2,1,C03,8,3,5,50,4,1,1,5,4,5,7,1,1,9,5,5,1,12,1,30.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,2.0,13.0,,26.0,26,1.0,22.0,9.0,121.517887,25.03938983
8127,110,2,16,2,25,2,05中正區,中正區中山南路與仁愛路1段口,0,0,2,2,B01,8,3,5,50,4,1,1,5,4,5,7,1,1,9,5,5,1,12,1,58.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,4.0,2.0,1.0,,44.0,26,1.0,22.0,9.0,121.517887,25.03938983
8128,110,2,16,2,25,2,05中正區,中正區中山南路與仁愛路1段口,0,0,2,3,H02,8,3,5,50,4,1,1,5,4,5,7,1,1,9,5,5,1,12,1,26.0,2.0,9.0,4.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,26,1.0,22.0,9.0,121.517887,25.03938983
8137,110,2,16,7,30,2,05中正區,中正區重慶南路3段113號,0,0,2,1,C03,8,1,5,30,14,9,1,5,4,1,7,4,4,10,4,5,2,16,1,39.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,16.0,16,1.0,22.0,9.0,121.516977,25.0242569
8138,110,2,16,7,30,2,05中正區,中正區重慶南路3段113號,0,0,2,2,C03,8,1,5,30,14,9,1,5,4,1,7,4,4,10,4,5,2,16,1,59.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,13.0,,13.0,16,1.0,22.0,9.0,121.516977,25.0242569
8139,110,2,16,7,30,2,05中正區,中正區重慶南路3段113號,0,0,2,3,B01,8,1,5,30,14,9,1,5,4,1,7,4,4,10,4,5,2,16,4,,4.0,11.0,3.0,4.0,7.0,15.0,7.0,19.0,11.0,15.0,,43.0,16,2.0,22.0,9.0,121.516977,25.0242569
8140,110,2,16,7,31,2,05中正區,中正區忠孝東路2段與金山北路口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,1,3,1,4,5,2,15,1,63.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,8.0,2.0,1.0,,25.0,25,1.0,22.0,9.0,121.529819,25.04311242
8141,110,2,16,7,31,2,05中正區,中正區忠孝東路2段與金山北路口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,3,1,4,5,2,15,1,28.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,25.0,25,1.0,22.0,9.0,121.529819,25.04311242
8160,110,2,16,10,44,2,05中正區,中正區和平西路1段與廈門街口口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,5,1,17,2,71.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,8.0,2.0,2.0,,9.0,9,1.0,22.0,9.0,121.5180131,25.02666343
8161,110,2,16,10,44,2,05中正區,中正區和平西路1段與廈門街口口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,5,1,17,1,46.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,9.0,2.0,14.0,,44.0,9,1.0,22.0,9.0,121.5180131,25.02666343
8191,110,2,16,13,26,2,05中正區,中正區汀州路3段與汀州路3段230巷口口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,1,17,1,27.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,8.0,1.0,2.0,,42.0,42,1.0,22.0,9.0,121.5358901,25.01152931
8192,110,2,16,13,26,2,05中正區,中正區汀州路3段與汀州路3段230巷口口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,1,17,1,61.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,44.0,42,1.0,22.0,9.0,121.5358901,25.01152931
8193,110,2,16,13,26,2,05中正區,中正區汀州路3段與汀州路3段230巷口口,0,0,1,3,H02,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,1,17,2,54.0,4.0,11.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,42,1.0,22.0,9.0,121.5358901,25.01152931
8198,110,2,16,14,5,2,05中正區,中正區重慶南路3段與汀州路2段口,0,0,2,1,C03,8,1,5,30,4,1,1,5,4,1,7,1,1,2,4,5,2,16,1,44.0,2.0,9.0,1.0,1.0,7.0,6.0,1.0,10.0,2.0,12.0,,9.0,9,1.0,22.0,9.0,121.516491,25.02562361
8199,110,2,16,14,5,2,05中正區,中正區重慶南路3段與汀州路2段口,0,0,2,2,C03,8,1,5,30,4,1,1,5,4,1,7,1,1,2,4,5,2,16,2,34.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,14.0,,13.0,9,1.0,22.0,9.0,121.516491,25.02562361
8200,110,2,16,14,5,2,05中正區,中正區重慶南路3段與汀州路2段口,0,0,2,3,H02,8,1,5,30,4,1,1,5,4,1,7,1,1,2,4,5,2,16,2,29.0,4.0,11.0,1.0,1.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,9,1.0,22.0,9.0,121.516491,25.02562361
8246,110,2,16,20,37,2,05中正區,中正區公園路21號,0,0,2,1,C03,6,3,5,50,14,7,1,4,4,5,7,4,4,9,4,4,2,17,1,18.0,2.0,8.0,1.0,1.0,7.0,11.0,1.0,10.0,1.0,14.0,,10.0,10,1.0,22.0,9.0,121.5151061,25.0375599
8247,110,2,16,20,37,2,05中正區,中正區公園路21號,0,0,2,2,C03,6,3,5,50,14,7,1,4,4,5,7,4,4,9,4,4,2,17,1,50.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,44.0,10,1.0,22.0,9.0,121.5151061,25.0375599
8248,110,2,16,21,10,2,05中正區,中正區中華路1段與寶慶路口,0,0,1,1,C03,6,3,5,50,5,1,1,4,4,5,7,1,1,10,5,5,2,13,1,26.0,2.0,4.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,16.0,16,1.0,22.0,9.0,121.5085008,25.04192952
8249,110,2,16,21,10,2,05中正區,中正區中華路1段與寶慶路口,0,0,1,2,B12,6,3,5,50,5,1,1,4,4,5,7,1,1,10,5,5,2,13,1,38.0,3.0,10.0,1.0,1.0,7.0,12.0,1.0,8.0,1.0,7.0,,44.0,16,1.0,22.0,9.0,121.5085008,25.04192952
8281,110,2,17,7,49,2,05中正區,中正區重慶南路1段與漢口街1段口,0,0,1,1,C03,6,1,5,50,4,1,1,4,4,5,7,1,1,10,4,5,2,18,1,21.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,43.0,43,1.0,22.0,1.0,121.5132583,25.04464405
8283,110,2,17,7,49,2,05中正區,中正區重慶南路1段與漢口街1段口,0,0,1,2,,6,1,5,50,4,1,1,4,4,5,7,1,1,10,4,5,2,18,3,,,,,,,,,,,,,67.0,43,1.0,,,121.5132583,25.04464405
8294,110,2,17,9,50,2,05中正區,中正區中山南路21號,0,0,1,1,H01,6,1,5,0,14,9,1,4,4,5,7,4,4,1,4,1,2,3,2,79.0,4.0,11.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,51.0,51,1.0,22.0,9.0,121.5171589,25.03691719
8295,110,2,17,9,50,2,05中正區,中正區中山南路21號,0,0,1,2,C03,6,1,5,0,14,9,1,4,4,5,7,4,4,1,4,1,2,3,1,27.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,15.0,,13.0,51,1.0,22.0,9.0,121.5171589,25.03691719
8296,110,2,17,10,1,2,05中正區,中正區和平西路1段與牯嶺街口,0,0,1,1,A02,6,1,5,50,4,1,1,4,4,5,7,2,1,1,4,5,2,3,1,37.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,2.0,2.0,5.0,,15.0,15,1.0,22.0,9.0,121.5189307,25.02653103
8297,110,2,17,10,1,2,05中正區,中正區和平西路1段與牯嶺街口,0,0,1,2,H01,6,1,5,50,4,1,1,4,4,5,7,2,1,1,4,5,2,3,1,79.0,2.0,1.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,16.0,,67.0,15,1.0,22.0,9.0,121.5189307,25.02653103
8400,110,2,18,8,20,2,05中正區,中正區永福橋往北市,0,0,1,1,B02,8,1,5,50,14,9,1,5,4,4,7,4,4,5,4,5,2,12,1,27.0,3.0,10.0,1.0,1.0,7.0,7.0,1.0,8.0,1.0,4.0,,7.0,7,1.0,22.0,9.0,121.528146,25.01138683
8402,110,2,18,8,20,2,05中正區,中正區永福橋往北市,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,4,7,4,4,5,4,5,2,12,2,26.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,44.0,7,1.0,22.0,9.0,121.528146,25.01138683
8404,110,2,18,8,20,2,05中正區,中正區永福橋往北市,0,0,1,3,H02,8,1,5,50,14,9,1,5,4,4,7,4,4,5,4,5,2,12,2,26.0,4.0,11.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,,67.0,7,1.0,22.0,9.0,121.528146,25.01138683
8407,110,2,18,8,27,2,05中正區,中正區延平南路與廣州街口口,0,0,1,1,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,1,17,1,31.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,,26.0,26,1.0,22.0,9.0,121.5078099,25.03569371
8408,110,2,18,8,27,2,05中正區,中正區延平南路與廣州街口口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,1,17,1,37.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,9.0,2.0,13.0,,6.0,26,1.0,22.0,9.0,121.5078099,25.03569371
8430,110,2,18,9,7,2,05中正區,中正區公園路二二八公園東側公車站牌附近,0,0,1,1,F01,8,1,8,0,15,20,4,5,4,5,7,4,4,5,4,5,1,9,2,56.0,3.0,10.0,4.0,5.0,7.0,9.0,8.0,20.0,1.0,15.0,,43.0,43,1.0,22.0,9.0,121.5161405,25.04161089
8431,110,2,18,9,7,2,05中正區,中正區公園路二二八公園東側公車站牌附近,0,0,1,2,H01,8,1,8,0,15,20,4,5,4,5,7,4,4,5,4,5,1,9,2,68.0,2.0,8.0,4.0,5.0,8.0,16.0,8.0,20.0,10.0,15.0,,67.0,43,1.0,22.0,9.0,121.5161405,25.04161089
8439,110,2,18,9,39,2,05中正區,中正區林森北路與林森北路9巷口,0,0,1,1,B03,8,1,5,50,3,1,1,5,4,5,7,4,4,5,4,5,2,16,2,50.0,3.0,10.0,1.0,1.0,7.0,11.0,1.0,4.0,2.0,4.0,,10.0,10,1.0,22.0,9.0,121.523743,25.04581615
8440,110,2,18,9,39,2,05中正區,中正區林森北路與林森北路9巷口,0,0,1,2,C03,8,1,5,50,3,1,1,5,4,5,7,4,4,5,4,5,2,16,2,32.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,,23.0,10,1.0,22.0,9.0,121.523743,25.04581615
8472,110,2,18,11,20,2,05中正區,中正區常德街西往東台大院區前,0,0,1,1,B01,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,1,12,1,62.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,4.0,1.0,2.0,,43.0,43,1.0,21.0,1.0,121.5170434,25.04099103
8473,110,2,18,11,20,2,05中正區,中正區常德街西往東台大院區前,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,1,12,2,58.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,43.0,43,1.0,21.0,1.0,121.5170434,25.04099103
8563,110,2,18,19,0,2,05中正區,中正區和平西路1段與南昌路2段口,0,0,1,1,C03,8,3,5,50,5,2,1,5,4,5,7,1,1,1,4,5,2,17,1,23.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,15.0,,42.0,42,1.0,22.0,9.0,121.5211438,25.02689142
8564,110,2,18,19,0,2,05中正區,中正區和平西路1段與南昌路2段口,0,0,1,2,C03,8,3,5,50,5,2,1,5,4,5,7,1,1,1,4,5,2,17,2,52.0,3.0,10.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,15.0,,44.0,42,1.0,22.0,9.0,121.5211438,25.02689142
8572,110,2,18,19,50,2,05中正區,中正區忠孝西路1段與中華路1段口口,0,0,2,1,F03,8,3,5,0,4,2,1,5,4,5,7,2,1,9,4,4,1,16,1,30.0,2.0,8.0,4.0,5.0,7.0,7.0,8.0,20.0,1.0,16.0,,7.0,7,1.0,9.0,5.0,121.5101275,25.04806924
8574,110,2,18,19,50,2,05中正區,中正區忠孝西路1段與中華路1段口口,0,0,2,2,C03,8,3,5,0,4,2,1,5,4,5,7,2,1,9,4,4,1,16,1,45.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,13.0,7,1.0,21.0,1.0,121.5101275,25.04806924
