發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
377,110,1,3,20,17,2,05中正區,中正區中山南路與信義路1段口,0,0,2,3,H02,8,3,5,50,14,8,1,5,4,5,7,1,1,1,5,1,2,13,2,27.0,2.0,9.0,1.0,4.0,7.0,21.0,8.0,20.0,10.0,15.0,,67.0,16,1.0,22.0,9.0,121.5176891,25.03861055
378,110,1,3,20,17,2,05中正區,中正區中山南路與信義路1段口,0,0,2,4,C03,8,3,5,50,14,8,1,5,4,5,7,1,1,1,5,1,2,13,1,26.0,3.0,10.0,1.0,4.0,7.0,12.0,1.0,10.0,2.0,11.0,,16.0,16,1.0,22.0,9.0,121.5176891,25.03861055
411,110,1,4,5,50,2,05中正區,中正區重慶南路1段與漢口街1段口口,0,0,1,1,F01,6,3,5,0,4,2,1,4,4,5,7,2,1,9,4,5,1,17,4,,4.0,11.0,3.0,4.0,7.0,21.0,7.0,19.0,11.0,15.0,,43.0,43,2.0,22.0,9.0,121.5132308,25.04517052
412,110,1,4,5,50,2,05中正區,中正區重慶南路1段與漢口街1段口口,0,0,1,2,C03,6,3,5,0,4,2,1,4,4,5,7,2,1,9,4,5,1,17,2,50.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,23.0,43,1.0,21.0,1.0,121.5132308,25.04517052
421,110,1,4,6,57,2,05中正區,中正區臨沂街33巷24號,0,0,2,1,C03,6,1,5,30,15,9,1,4,4,5,7,4,4,10,5,5,2,17,1,23.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,12.0,,6.0,6,1.0,22.0,9.0,121.5310625,25.03967326
422,110,1,4,6,57,2,05中正區,中正區臨沂街33巷24號,0,0,2,2,C03,6,1,5,30,15,9,1,4,4,5,7,4,4,10,5,5,2,17,1,28.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,,13.0,6,1.0,22.0,9.0,121.5310625,25.03967326
444,110,1,4,8,30,2,05中正區,中正區延平南路與愛國西路口,0,0,1,1,B01,6,1,5,50,4,1,1,4,4,5,7,2,1,1,4,5,2,13,1,63.0,3.0,10.0,1.0,4.0,7.0,5.0,1.0,4.0,2.0,8.0,,23.0,23,1.0,10.0,4.0,121.5079905,25.03690265
449,110,1,4,8,30,2,05中正區,中正區延平南路與愛國西路口,0,0,1,2,C03,6,1,5,50,4,1,1,4,4,5,7,2,1,1,4,5,2,13,2,61.0,2.0,8.0,1.0,1.0,7.0,14.0,1.0,10.0,2.0,13.0,,43.0,23,1.0,22.0,5.0,121.5079905,25.03690265
484,110,1,4,11,25,2,05中正區,中正區永福橋與水源路口匝道,0,0,1,1,B01,6,1,5,30,3,1,1,4,4,5,7,4,4,4,5,5,2,17,1,40.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,4.0,1.0,3.0,,26.0,26,1.0,22.0,9.0,121.5281305,25.01170607
485,110,1,4,11,25,2,05中正區,中正區永福橋與水源路口匝道,0,0,1,2,C03,6,1,5,30,3,1,1,4,4,5,7,4,4,4,5,5,2,17,1,56.0,2.0,3.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,14.0,,42.0,26,1.0,22.0,9.0,121.5281305,25.01170607
